네이버 데이터랩 쇼핑인사이트 > 분야 통계
조회분야
도서
조회기간 : 2021.07.09. ~ 2022.07.09. 일간
기기별 : 전체
성별 : 남성
연령별 : 50대

"날짜","도서"
"2022-03-03",81
"2022-03-04",76
"2022-03-05",79
"2022-03-06",88
"2022-03-07",92
"2022-03-08",76
"2022-03-09",65
"2022-03-10",65
"2022-03-11",67
"2022-03-12",62
"2022-03-13",71
"2022-03-14",70
"2022-03-15",67
"2022-03-16",63
"2022-03-17",62
"2022-03-18",54
"2022-03-19",53
"2022-03-20",63
"2022-03-21",61
"2022-03-22",64
"2022-03-23",64
"2022-03-24",55
"2022-03-25",50
"2022-03-26",52
"2022-03-27",62
"2022-03-28",64
"2022-03-29",58
"2022-03-30",59
"2022-03-31",54
"2022-04-01",49
"2022-04-02",49
"2022-04-03",53
"2022-04-04",55
"2022-04-05",55
"2022-04-06",54
"2022-04-07",51
"2022-04-08",47
"2022-04-09",43
"2022-04-10",46
"2022-04-11",51
"2022-04-12",47
"2022-04-13",50
"2022-04-14",49
"2022-04-15",41
"2022-04-16",41
"2022-04-17",44
"2022-04-18",49
"2022-04-19",47
"2022-04-20",45
"2022-04-21",53
"2022-04-22",43
"2022-04-23",40
"2022-04-24",50
"2022-04-25",59
"2022-04-26",56
"2022-04-27",54
"2022-04-28",48
"2022-04-29",45
"2022-04-30",41
"2022-05-01",49
"2022-05-02",49
"2022-05-03",50
"2022-05-04",42
"2022-05-05",39
"2022-05-06",40
"2022-05-07",38
"2022-05-08",44
"2022-05-09",53
"2022-05-10",50
"2022-05-11",48
"2022-05-12",45
"2022-05-13",36
"2022-05-14",34
"2022-05-15",41
"2022-05-16",51
"2022-05-17",44
"2022-05-18",45
"2022-05-19",39
"2022-05-20",36
"2022-05-21",34
"2022-05-22",37
"2022-05-23",43
"2022-05-24",44
"2022-05-25",42
"2022-05-26",42
"2022-05-27",37
"2022-05-28",36
"2022-05-29",41
"2022-05-30",43
"2022-05-31",41
"2022-06-01",39
"2022-06-02",39
"2022-06-03",37
"2022-06-04",34
"2022-06-05",37
"2022-06-06",44
"2022-06-07",54
"2022-06-08",44
"2022-06-09",40
"2022-06-10",35
"2022-06-11",36
"2022-06-12",39
"2022-06-13",41
"2022-06-14",41
"2022-06-15",41
"2022-06-16",40
"2022-06-17",36
"2022-06-18",35
"2022-06-19",41
"2022-06-20",46
"2022-06-21",42
"2022-06-22",38
"2022-06-23",36
"2022-06-24",33
"2022-06-25",32
"2022-06-26",35
"2022-06-27",45
"2022-06-28",43
"2022-06-29",40
"2022-06-30",36
"2022-07-01",37
"2022-07-02",36
"2022-07-03",40
"2022-07-04",45
"2022-07-05",45
"2022-07-06",46
"2022-07-07",46
"2022-07-08",21
"2022-07-09",4
